datetime,datetimeEpoch,temp,feelslike,humidity,dew,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,uvindex,conditions,icon,source,weather_time
00:00:00,1735603200,11.11,11.07,92.37,10.0,0.0,8.94,7.56,119.59,1016.39,25.11,13.0,0.0,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:00:00
00:00:00,1735603230,11.1,11.1,92.4,10.01,-0.0,9.01,7.58,119.96,1016.37,24.94,12.99,0.0,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:00:30
00:00:00,1735603260,11.11,11.11,92.49,9.99,-0.0,8.96,7.64,120.3,1016.44,24.89,12.98,0.01,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:01:00
00:00:00,1735603290,11.06,11.1,92.34,10.01,0.0,9.01,7.67,119.73,1016.37,25.11,13.0,0.0,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:01:30
00:00:00,1735603320,11.05,11.12,92.48,9.98,-0.0,9.02,7.59,119.88,1016.45,25.27,12.98,0.0,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:02:00
00:00:00,1735603350,11.12,11.12,92.24,10.01,-0.01,9.05,7.6,119.95,1016.44,24.94,12.99,0.0,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:02:30
00:00:00,1735603380,11.13,11.1,92.12,10.0,0.0,9.03,7.52,119.97,1016.42,25.11,13.03,0.01,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:03:00
00:00:00,1735603410,11.08,11.09,92.37,9.96,-0.0,9.04,7.59,119.41,1016.36,24.98,12.95,0.0,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:03:30
00:00:00,1735603440,11.08,11.13,92.13,10.04,-0.0,9.11,7.53,120.13,1016.39,24.77,13.03,0.01,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:04:00
00:00:00,1735603470,11.15,11.08,92.21,9.94,0.0,8.93,7.58,119.88,1016.36,24.68,12.97,0.02,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:04:30
00:00:00,1735603500,11.11,11.11,92.17,10.03,-0.0,9.08,7.63,120.33,1016.28,24.71,13.0,0.01,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:05:00
00:00:00,1735603530,11.14,11.1,92.03,10.02,0.01,9.09,7.66,120.18,1016.46,24.83,13.02,0.01,Partially cloudy,partly-cloudy-night,obs,2024-12-31 00:05:30
